,popularity,title,vote_average,vote_count,vote_total,runtime_minutes,genre,production_budget,domestic_profit,worldwide_profit,release_date
0,28.734,How to Train Your Dragon,7.7,7610,58597.0,98.0,Action,165000000,52581232,329870992,2010-03-26
1,28.734,How to Train Your Dragon,7.7,7610,58597.0,98.0,Adventure,165000000,52581232,329870992,2010-03-26
2,28.734,How to Train Your Dragon,7.7,7610,58597.0,98.0,Animation,165000000,52581232,329870992,2010-03-26
3,28.515,Iron Man 2,6.8,12368,84102.4,124.0,Action,170000000,142433331,451156389,2010-05-07
4,28.515,Iron Man 2,6.8,12368,84102.4,124.0,Adventure,170000000,142433331,451156389,2010-05-07
5,28.515,Iron Man 2,6.8,12368,84102.4,124.0,Sci-Fi,170000000,142433331,451156389,2010-05-07
6,27.92,Inception,8.3,22186,184143.80000000002,148.0,Action,160000000,132576195,675524642,2010-07-16
7,27.92,Inception,8.3,22186,184143.80000000002,148.0,Adventure,160000000,132576195,675524642,2010-07-16
8,27.92,Inception,8.3,22186,184143.80000000002,148.0,Sci-Fi,160000000,132576195,675524642,2010-07-16
9,26.691,Percy Jackson & the Olympians: The Lightning Thief,6.1,4229,25796.899999999998,118.0,Adventure,95000000,-6231697,128050874,2010-02-11
10,26.691,Percy Jackson & the Olympians: The Lightning Thief,6.1,4229,25796.899999999998,118.0,Family,95000000,-6231697,128050874,2010-02-11
11,26.691,Percy Jackson & the Olympians: The Lightning Thief,6.1,4229,25796.899999999998,118.0,Fantasy,95000000,-6231697,128050874,2010-02-11
12,26.526,Avatar,7.4,18676,138202.4,93.0,Horror,425000000,335507625,2351345279,2009-12-18
13,24.445,Toy Story 3,7.7,8340,64218.0,103.0,Adventure,200000000,215004880,868879522,2010-06-17
14,24.445,Toy Story 3,7.7,8340,64218.0,103.0,Animation,200000000,215004880,868879522,2010-06-17
15,24.445,Toy Story 3,7.7,8340,64218.0,103.0,Comedy,200000000,215004880,868879522,2010-06-17
16,23.673,Despicable Me,7.2,10057,72410.40000000001,95.0,Animation,69000000,182513985,474464573,2010-07-09
17,23.673,Despicable Me,7.2,10057,72410.40000000001,95.0,Comedy,69000000,182513985,474464573,2010-07-09
18,23.673,Despicable Me,7.2,10057,72410.40000000001,95.0,Family,69000000,182513985,474464573,2010-07-09
19,22.855,Megamind,6.8,3635,24718.0,95.0,Action,130000000,18415853,191887208,2010-11-04
20,22.855,Megamind,6.8,3635,24718.0,95.0,Animation,130000000,18415853,191887208,2010-11-04
21,22.855,Megamind,6.8,3635,24718.0,95.0,Comedy,130000000,18415853,191887208,2010-11-04
22,22.02,Alice in Wonderland,6.6,8713,57505.799999999996,108.0,Adventure,200000000,134191110,825491110,2010-03-05
23,22.02,Alice in Wonderland,6.6,8713,57505.799999999996,108.0,Family,200000000,134191110,825491110,2010-03-05
24,22.02,Alice in Wonderland,6.6,8713,57505.799999999996,108.0,Fantasy,200000000,134191110,825491110,2010-03-05
25,22.02,Alice in Wonderland,6.6,8713,57505.799999999996,48.0,Documentary,200000000,134191110,825491110,2010-03-05
26,22.02,Alice in Wonderland,6.6,8713,57505.799999999996,99.0,Fantasy,200000000,134191110,825491110,2010-03-05
27,22.02,Alice in Wonderland,6.6,8713,57505.799999999996,99.0,Musical,200000000,134191110,825491110,2010-03-05
28,0.6,Alice in Wonderland,6.0,1,6.0,108.0,Adventure,200000000,134191110,825491110,2010-01-01
29,0.6,Alice in Wonderland,6.0,1,6.0,108.0,Family,200000000,134191110,825491110,2010-01-01
30,0.6,Alice in Wonderland,6.0,1,6.0,108.0,Fantasy,200000000,134191110,825491110,2010-01-01
31,0.6,Alice in Wonderland,6.0,1,6.0,48.0,Documentary,200000000,134191110,825491110,2010-01-01
32,0.6,Alice in Wonderland,6.0,1,6.0,99.0,Fantasy,200000000,134191110,825491110,2010-01-01
33,0.6,Alice in Wonderland,6.0,1,6.0,99.0,Musical,200000000,134191110,825491110,2010-01-01
34,21.517,The Expendables,6.1,4647,28346.699999999997,103.0,Action,82000000,21068524,186268174,2010-08-03
35,21.517,The Expendables,6.1,4647,28346.699999999997,103.0,Adventure,82000000,21068524,186268174,2010-08-03
36,21.517,The Expendables,6.1,4647,28346.699999999997,103.0,Thriller,82000000,21068524,186268174,2010-08-03
37,21.511,Tangled,7.5,6407,48052.5,100.0,Adventure,260000000,-59178064,326477240,2010-11-24
38,21.511,Tangled,7.5,6407,48052.5,100.0,Animation,260000000,-59178064,326477240,2010-11-24
39,21.511,Tangled,7.5,6407,48052.5,100.0,Comedy,260000000,-59178064,326477240,2010-11-24
40,20.34,The Twilight Saga: Eclipse,6.0,4909,29454.0,124.0,Adventure,68000000,232531751,638102828,2010-06-23
41,20.34,The Twilight Saga: Eclipse,6.0,4909,29454.0,124.0,Drama,68000000,232531751,638102828,2010-06-23
42,20.34,The Twilight Saga: Eclipse,6.0,4909,29454.0,124.0,Fantasy,68000000,232531751,638102828,2010-06-23
43,18.985,The Book of Eli,6.7,3495,23416.5,118.0,Action,80000000,14835059,78750817,2010-01-11
44,18.985,The Book of Eli,6.7,3495,23416.5,118.0,Adventure,80000000,14835059,78750817,2010-01-11
45,18.985,The Book of Eli,6.7,3495,23416.5,118.0,Drama,80000000,14835059,78750817,2010-01-11
46,18.06,Shutter Island,8.1,12625,102262.5,138.0,Mystery,80000000,48012934,219461782,2010-02-18
47,18.06,Shutter Island,8.1,12625,102262.5,138.0,Thriller,80000000,48012934,219461782,2010-02-18
48,17.713,Knight and Day,6.0,2494,14964.0,109.0,Action,117000000,-40576965,141751370,2010-06-23
49,17.713,Knight and Day,6.0,2494,14964.0,109.0,Adventure,117000000,-40576965,141751370,2010-06-23
50,17.713,Knight and Day,6.0,2494,14964.0,109.0,Comedy,117000000,-40576965,141751370,2010-06-23
51,17.382,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.3,3196,20134.8,113.0,Adventure,155000000,-50613050,263186950,2010-12-10
52,17.382,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.3,3196,20134.8,113.0,Family,155000000,-50613050,263186950,2010-12-10
53,17.382,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.3,3196,20134.8,113.0,Fantasy,155000000,-50613050,263186950,2010-12-10
54,17.174,Step Up 3D,6.7,1160,7772.0,107.0,Drama,30000000,12400223,135889117,2010-08-06
55,17.174,Step Up 3D,6.7,1160,7772.0,107.0,Music,30000000,12400223,135889117,2010-08-06
56,17.174,Step Up 3D,6.7,1160,7772.0,107.0,Romance,30000000,12400223,135889117,2010-08-06
57,17.097,The A-Team,6.3,2703,17028.899999999998,117.0,Action,110000000,-32777901,67241171,2010-06-11
58,17.097,The A-Team,6.3,2703,17028.899999999998,117.0,Adventure,110000000,-32777901,67241171,2010-06-11
59,17.097,The A-Team,6.3,2703,17028.899999999998,117.0,Thriller,110000000,-32777901,67241171,2010-06-11
60,16.595,The Last Airbender,4.6,2143,9857.8,103.0,Action,150000000,-18227813,169713881,2010-07-01
61,16.595,The Last Airbender,4.6,2143,9857.8,103.0,Adventure,150000000,-18227813,169713881,2010-07-01
62,16.595,The Last Airbender,4.6,2143,9857.8,103.0,Family,150000000,-18227813,169713881,2010-07-01
63,16.215999999999998,Predators,6.1,1979,12071.9,107.0,Action,40000000,12000688,87234389,2010-07-03
64,16.215999999999998,Predators,6.1,1979,12071.9,107.0,Adventure,40000000,12000688,87234389,2010-07-03
65,16.215999999999998,Predators,6.1,1979,12071.9,107.0,Sci-Fi,40000000,12000688,87234389,2010-07-03
66,15.889,The Social Network,7.2,6116,44035.200000000004,120.0,Biography,40000000,56962694,184922135,2010-10-01
67,15.889,The Social Network,7.2,6116,44035.200000000004,120.0,Drama,40000000,56962694,184922135,2010-10-01
68,15.574000000000002,Clash of the Titans,5.7,3714,21169.8,106.0,Action,125000000,38214888,368214888,2010-04-02
69,15.574000000000002,Clash of the Titans,5.7,3714,21169.8,106.0,Action,15000000,15000000,29400000,2010-04-02
70,15.574000000000002,Clash of the Titans,5.7,3714,21169.8,106.0,Adventure,125000000,38214888,368214888,2010-04-02
71,15.574000000000002,Clash of the Titans,5.7,3714,21169.8,106.0,Adventure,15000000,15000000,29400000,2010-04-02
72,15.574000000000002,Clash of the Titans,5.7,3714,21169.8,106.0,Fantasy,125000000,38214888,368214888,2010-04-02
73,15.574000000000002,Clash of the Titans,5.7,3714,21169.8,106.0,Fantasy,15000000,15000000,29400000,2010-04-02
74,15.444,Robin Hood,6.3,2569,16184.699999999999,140.0,Action,210000000,-104512852,112459006,2010-05-14
75,15.444,Robin Hood,6.3,2569,16184.699999999999,140.0,Action,99000000,-68175372,-14252559,2010-05-14
76,15.444,Robin Hood,6.3,2569,16184.699999999999,140.0,Adventure,210000000,-104512852,112459006,2010-05-14
77,15.444,Robin Hood,6.3,2569,16184.699999999999,140.0,Adventure,99000000,-68175372,-14252559,2010-05-14
78,15.444,Robin Hood,6.3,2569,16184.699999999999,140.0,Drama,210000000,-104512852,112459006,2010-05-14
79,15.444,Robin Hood,6.3,2569,16184.699999999999,140.0,Drama,99000000,-68175372,-14252559,2010-05-14
80,15.444,Robin Hood,6.3,2569,16184.699999999999,92.0,Action,210000000,-104512852,112459006,2010-05-14
81,15.444,Robin Hood,6.3,2569,16184.699999999999,92.0,Action,99000000,-68175372,-14252559,2010-05-14
82,15.444,Robin Hood,6.3,2569,16184.699999999999,92.0,Drama,210000000,-104512852,112459006,2010-05-14
83,15.444,Robin Hood,6.3,2569,16184.699999999999,92.0,Drama,99000000,-68175372,-14252559,2010-05-14
84,15.444,Robin Hood,6.3,2569,16184.699999999999,116.0,Action,210000000,-104512852,112459006,2010-05-14
85,15.444,Robin Hood,6.3,2569,16184.699999999999,116.0,Action,99000000,-68175372,-14252559,2010-05-14
86,15.444,Robin Hood,6.3,2569,16184.699999999999,116.0,Adventure,210000000,-104512852,112459006,2010-05-14
87,15.444,Robin Hood,6.3,2569,16184.699999999999,116.0,Adventure,99000000,-68175372,-14252559,2010-05-14
