,title,production_company,audience_status,audience_rating,audience_count,clean_titles,where
0,harry_potter_and_the_deathly_hallows__part_1,,,,,,left_only
1,how_to_train_your_dragon,,,,,,left_only
2,iron_man_2,Paramount Studios,Upright,71.0,480879.0,iron_man_2,both
3,toy_story,Buena Vista,Upright,92.0,1109209.0,toy_story,both
4,inception,Warner Bros. Pictures,Upright,91.0,571078.0,inception,both
5,percy_jackson___the_olympians__the_lightning_thief,20th Century Fox,Spilled,53.0,254421.0,percy_jackson___the_olympians__the_lightning_thief,both
6,avatar,20th Century Fox,Upright,82.0,1382566.0,avatar,both
7,toy_story_3,Walt Disney Pictures,Upright,89.0,607537.0,toy_story_3,both
8,despicable_me,Universal Pictures,Upright,82.0,267474.0,despicable_me,both
9,megamind,,,,,,left_only
10,toy_story_2,Buena Vista Pictures,Upright,86.0,1000505.0,toy_story_2,both
11,alice_in_wonderland,Film Chest,Upright,78.0,574325.0,alice_in_wonderland,both
12,alice_in_wonderland,Artisan Entertainment,Upright,62.0,24497.0,alice_in_wonderland,both
13,alice_in_wonderland,Walt Disney Pictures,Spilled,55.0,480238.0,alice_in_wonderland,both
14,alice_in_wonderland,Universal Studios,Spilled,59.0,693.0,alice_in_wonderland,both
15,the_expendables,Lionsgate Films,Upright,64.0,297379.0,the_expendables,both
16,tangled,Walt Disney Pictures,Upright,87.0,150600.0,tangled,both
17,saw__the_final_chapter,,,,,,left_only
18,the_twilight_saga__eclipse,Summit Entertainment,Upright,60.0,333820.0,the_twilight_saga__eclipse,both
19,the_book_of_eli,Warner Bros. Pictures,Upright,64.0,350712.0,the_book_of_eli,both
20,lellebelle,,,,,,left_only
21,the_bourne_supremacy,Universal Pictures,Upright,90.0,708774.0,the_bourne_supremacy,both
22,shutter_island,Paramount Studios,Upright,76.0,2374219.0,shutter_island,both
23,the_bourne_identity,Universal Pictures,Upright,93.0,965561.0,the_bourne_identity,both
24,knight_and_day,,,,,,left_only
25,the_chronicles_of_narnia__the_voyage_of_the_dawn_treader,20th Century Fox,Spilled,58.0,157416.0,the_chronicles_of_narnia__the_voyage_of_the_dawn_treader,both
26,step_up_3d,,,,,,left_only
27,the_a_team,20th Century Fox,Upright,66.0,199357.0,the_a_team,both
28,the_king_s_speech,The Weinstein Company,Upright,92.0,144575.0,the_king_s_speech,both
29,bad_boys,Sony Pictures Home Entertainment,Upright,78.0,660862.0,bad_boys,both
30,bad_boys,HBO Video,Upright,81.0,61585.0,bad_boys,both
31,the_last_airbender,Paramount Pictures,Spilled,30.0,322458.0,the_last_airbender,both
32,predators,20th Century Fox,Spilled,52.0,159887.0,predators,both
33,the_social_network,Columbia Pictures,Upright,86.0,204126.0,the_social_network,both
34,undisputed_iii__redemption,,,,,,left_only
35,apollo_13,Universal Pictures,Upright,87.0,432986.0,apollo_13,both
36,armageddon,Buena Vista,Upright,73.0,909649.0,armageddon,both
37,the_bourne_ultimatum,Universal Pictures,Upright,91.0,1922720.0,the_bourne_ultimatum,both
38,clash_of_the_titans,Warner Bros. Pictures,Upright,70.0,56833.0,clash_of_the_titans,both
39,clash_of_the_titans,Warner Bros.,Spilled,40.0,283929.0,clash_of_the_titans,both
40,the_back_up_plan,CBS Films,Spilled,46.0,135545.0,the_back_up_plan,both
41,robin_hood,Buena Vista Pictures,Upright,81.0,271691.0,robin_hood,both
42,robin_hood,Universal,Spilled,58.0,265048.0,robin_hood,both
43,robin_hood,Summit Entertainment,Spilled,41.0,3583.0,robin_hood,both
44,nanny_mcphee_and_the_big_bang,,,,,,left_only
45,shrek_forever_after,Paramount,Spilled,54.0,353140.0,shrek_forever_after,both
46,easy_a,,,,,,left_only
47,the_sorcerer_s_apprentice,Walt Disney Studios,Spilled,53.0,142532.0,the_sorcerer_s_apprentice,both
48,scott_pilgrim_vs__the_world,Universal Pictures,Upright,84.0,141600.0,scott_pilgrim_vs__the_world,both
49,grown_ups,Sony Pictures,Upright,62.0,270906.0,grown_ups,both
50,some_like_it_hot,United Artists,Upright,94.0,82303.0,some_like_it_hot,both
51,faster,Slamdance on the Road,Upright,90.0,1223.0,faster,both
52,faster,CBS Films,Spilled,49.0,45364.0,faster,both
53,the_wolfman,Universal Pictures,Spilled,33.0,223235.0,the_wolfman,both
54,unstoppable,20th Century Fox,Upright,72.0,104686.0,unstoppable,both
55,black_swan,Fox Searchlight,Upright,84.0,178032.0,black_swan,both
56,tinker_bell_and_the_great_fairy_rescue,Walt Disney Pictures,Upright,76.0,10220.0,tinker_bell_and_the_great_fairy_rescue,both
57,three_steps_above_heaven,,,,,,left_only
58,centurion,Magnolia Pictures,Spilled,43.0,47726.0,centurion,both
59,the_other_guys,Columbia Pictures,Upright,60.0,160676.0,the_other_guys,both
60,the_town,Warner Bros. Pictures,Upright,85.0,142184.0,the_town,both
61,jonah_hex,Warner Bros. Pictures,Spilled,20.0,170711.0,jonah_hex,both
62,tron__legacy,,,,,,left_only
63,prince_of_persia__the_sands_of_time,Walt Disney Pictures,Spilled,58.0,436863.0,prince_of_persia__the_sands_of_time,both
64,the_great_mouse_detective,Walt Disney Productions,Upright,79.0,58800.0,the_great_mouse_detective,both
65,the_lovely_bones,Paramount Pictures,Spilled,52.0,373768.0,the_lovely_bones,both
66,all_about_eve,20th Century Fox,Upright,94.0,45248.0,all_about_eve,both
67,true_grit,Paramount Home Video,Upright,84.0,26169.0,true_grit,both
68,true_grit,Paramount Pictures,Upright,85.0,158268.0,true_grit,both
69,i_spit_on_your_grave,Anchor Bay Films,Spilled,47.0,10841.0,i_spit_on_your_grave,both
70,kick_ass,Lionsgate,Upright,81.0,285545.0,kick_ass,both
71,robot_chicken__star_wars_episode_iii,,,,,,left_only
72,salt,Sony Pictures,Spilled,59.0,200731.0,salt,both
73,legend_of_the_boneknapper_dragon,,,,,,left_only
74,from_paris_with_love,Lionsgate Films,Spilled,54.0,155707.0,from_paris_with_love,both
75,batman__under_the_red_hood,WARNER BROTHERS PICTURES,Upright,92.0,11528.0,batman__under_the_red_hood,both
76,arthur_3__the_war_of_the_two_worlds,,,,,,left_only
77,tooth_fairy,,,,,,left_only
78,machete,20th Century Fox,Upright,63.0,109604.0,machete,both
79,the_secret_in_their_eyes,,,,,,left_only
80,date_night,20th Century Fox,Spilled,55.0,230474.0,date_night,both
81,due_date,Warner Bros. Pictures,Spilled,52.0,125516.0,due_date,both
82,repo_men,Universal Studios,Spilled,41.0,100490.0,repo_men,both
83,superman_shazam___the_return_of_black_adam,,,,,,left_only
84,summer_wars,,,,,,left_only
85,the_karate_kid,Columbia Pictures,Upright,82.0,316502.0,the_karate_kid,both
86,the_karate_kid,Sony Pictures,Upright,67.0,283086.0,the_karate_kid,both
87,diary_of_a_wimpy_kid,20th Century Fox,Spilled,49.0,103498.0,diary_of_a_wimpy_kid,both
88,the_crazies,Overture Films,Spilled,56.0,199202.0,the_crazies,both
89,the_crazies,Blue Underground,Spilled,43.0,9992.0,the_crazies,both
90,the_girl_who_kicked_the_hornet_s_nest,Music Box Films,Upright,67.0,28256.0,the_girl_who_kicked_the_hornet_s_nest,both
91,little_fockers,Universal Pictures,Spilled,34.0,133085.0,little_fockers,both
92,red,Magnolia Pictures,Upright,68.0,2607.0,red,both
93,red,Summit Entertainment,Upright,72.0,136154.0,red,both
94,red,Magnolia Pictures,Upright,68.0,2607.0,red,both
95,red,Summit Entertainment,Upright,72.0,136154.0,red,both
96,dear_john,,,,,,left_only
97,legion,Screen Gems,Spilled,31.0,312758.0,legion,both
98,tales_from_earthsea,,,,,,left_only
99,leap_year,,,,,,left_only
100,life_as_we_know_it,Warner Bros. Pictures,Upright,61.0,82457.0,life_as_we_know_it,both
101,the_girl_who_played_with_fire,,,,,,left_only
102,fair_game,Warner Home Video,Spilled,14.0,9398.0,fair_game,both
103,fair_game,Summit Entertainment,Upright,65.0,28676.0,fair_game,both
104,camp_rock_2__the_final_jam,Sudden Motion Productions,Spilled,55.0,22129.0,camp_rock_2__the_final_jam,both
105,green_zone,Universal Pictures,Spilled,57.0,152574.0,green_zone,both
106,justice_league__crisis_on_two_earths,,,,,,left_only
107,remember_me,Summit Entertainment,Upright,69.0,411657.0,remember_me,both
108,127_hours,Fox Searchlight,Upright,85.0,95883.0,127_hours,both
109,scooby_doo__curse_of_the_lake_monster,,,,,,left_only
110,piranha_3d,,,,,,left_only
111,valhalla_rising,IFC Films,Spilled,49.0,18425.0,valhalla_rising,both
112,edge_of_darkness,Warner Bros. Pictures,Spilled,49.0,542501.0,edge_of_darkness,both
113,the_extraordinary_adventures_of_ad_le_blanc_sec,,,,,,left_only
114,valentine_s_day,,,,,,left_only
115,the_next_three_days,Lionsgate,Upright,66.0,51659.0,the_next_three_days,both
116,kung_fu_panda_holiday,,,,,,left_only
117,buried,Lionsgate,Upright,65.0,64156.0,buried,both
118,ran,Rialto Pictures,Upright,95.0,38334.0,ran,both
119,operation__endgame,,,,,,left_only
120,gulliver_s_travels,Koch Vision,Spilled,53.0,7274.0,gulliver_s_travels,both
121,gulliver_s_travels,20th Century Fox,Spilled,27.0,61898.0,gulliver_s_travels,both
122,legend_of_the_guardians__the_owls_of_ga_hoole,Warner Bros. Pictures,Upright,63.0,70788.0,legend_of_the_guardians__the_owls_of_ga_hoole,both
123,the_spy_next_door,Lionsgate,Spilled,40.0,106272.0,the_spy_next_door,both
124,jackass_3d,,,,,,left_only
125,the_babysitters,Peace Arch Entertainment,Spilled,30.0,3709.0,the_babysitters,both
126,district_13__ultimatum,,,,,,left_only
127,_rec__,,,,,,left_only
128,open_season_3,,,,,,left_only
129,morning_glory,Media Home Entertainment,Spilled,45.0,836.0,morning_glory,both
130,morning_glory,Paramount Studios,Spilled,51.0,50311.0,morning_glory,both
131,harry_brown,Samuel Goldwyn Films,Upright,75.0,42692.0,harry_brown,both
132,cats___dogs__the_revenge_of_kitty_galore,Warner Bros. Pictures,Spilled,38.0,70153.0,cats___dogs__the_revenge_of_kitty_galore,both
133,the_fighter,Paramount Pictures,Upright,89.0,121498.0,the_fighter,both
134,9_songs,,,,,,left_only
135,the_tourist,Columbia Pictures,Spilled,42.0,94934.0,the_tourist,both
136,the_cutting_edge__fire___ice,,,,,,left_only
137,forbidden_planet,MGM Home Entertainment,Upright,85.0,21483.0,forbidden_planet,both
138,barbie_in_a_mermaid_tale,,,,,,left_only
139,ip_man,Well Go USA,Upright,93.0,27629.0,ip_man,both
140,killers,Lionsgate Films,Spilled,41.0,139460.0,killers,both
141,killers,Well Go USA Entertainment,Upright,65.0,2205.0,killers,both
142,you_again,Touchstone Pictures,Spilled,43.0,59548.0,you_again,both
143,devil,Universal Pictures,Spilled,43.0,67092.0,devil,both
144,the_losers,Warner Bros. Pictures,Spilled,54.0,144615.0,the_losers,both
145,animal_kingdom,Sony Pictures Classics,Upright,83.0,29829.0,animal_kingdom,both
146,wall_street__money_never_sleeps,20th Century Fox,Spilled,44.0,110740.0,wall_street__money_never_sleeps,both
147,monsters,Magnolia Pictures,Spilled,53.0,41515.0,monsters,both
148,hot_tub_time_machine,MGM,Spilled,56.0,167062.0,hot_tub_time_machine,both
149,a_matter_of_loaf_and_death,,,,,,left_only
150,love___other_drugs,,,,,,left_only
151,16_wishes,,,,,,left_only
152,never_let_me_go,Fox Searchlight Pictures,Upright,70.0,37863.0,never_let_me_go,both
153,it_s_kind_of_a_funny_story,Focus Features,Upright,66.0,34122.0,it_s_kind_of_a_funny_story,both
154,eat_pray_love,Sony Pictures,Spilled,42.0,100439.0,eat_pray_love,both
155,sex_and_the_city_2,Warner Bros. Pictures,Spilled,43.0,324282.0,sex_and_the_city_2,both
156,four_lions,Drafthouse Films,Upright,80.0,23388.0,four_lions,both
157,when_in_rome,Walt Disney Pictures,Spilled,41.0,157978.0,when_in_rome,both
158,the_bounty_hunter,Sony Pictures,Spilled,51.0,263966.0,the_bounty_hunter,both
159,winter_s_bone,Roadside Attractions,Upright,76.0,51756.0,winter_s_bone,both
160,waiting_for_forever,Freestyle Releasing,Spilled,42.0,13314.0,waiting_for_forever,both
161,my_soul_to_take,Universal Pictures,Spilled,26.0,33412.0,my_soul_to_take,both
162,a_nightmare_on_elm_street,New Line Cinema,Upright,83.0,415582.0,a_nightmare_on_elm_street,both
163,a_nightmare_on_elm_street,Warner Bros. Pictures,Spilled,43.0,199886.0,a_nightmare_on_elm_street,both
164,flipped,Warner Bros. Pictures,Upright,78.0,20208.0,flipped,both
165,let_me_in,Overture Films,Upright,76.0,66907.0,let_me_in,both
166,unthinkable,,,,,,left_only
167,frozen,Anchor Bay,Spilled,46.0,20649.0,frozen,both
168,frozen,Walt Disney Pictures,Upright,85.0,306743.0,frozen,both
169,smokin__aces_2__assassins__ball,,,,,,left_only
170,enter_the_void,,,,,,left_only
171,bereavement,Crimson Films,Spilled,29.0,2963.0,bereavement,both
172,inside_job,Sony Pictures Classics,Upright,91.0,29619.0,inside_job,both
173,mother_s_day,United Film Distribution Compa,Spilled,38.0,2735.0,mother_s_day,both
174,mother_s_day,Anchor Bay Entertainment,Spilled,52.0,11611.0,mother_s_day,both
175,mother_s_day,Open Road Films,Spilled,44.0,14024.0,mother_s_day,both
176,carrie,United Artists,Upright,77.0,353052.0,carrie,both
177,carrie,Sony Pictures,Spilled,44.0,82160.0,carrie,both
178,carrie,Paramount Pictures,Spilled,59.0,517.0,carrie,both
179,charlie_st__cloud,Universal Pictures,Upright,60.0,92357.0,charlie_st__cloud,both
180,furry_vengeance,Summit Entertainment,Spilled,32.0,89883.0,furry_vengeance,both
181,casino_jack,ATO Pictures,Spilled,34.0,11581.0,casino_jack,both
182,starstruck,,,,,,left_only
183,beauty___the_briefcase,,,,,,left_only
184,after_life,Anchor Bay,Spilled,33.0,14503.0,after_life,both
185,after_life,Anchor Bay,Spilled,33.0,14503.0,after_life,both
186,another_year,Sony Classics,Upright,74.0,20675.0,another_year,both
187,letters_to_juliet,Summit Entertainment,Upright,62.0,258122.0,letters_to_juliet,both
188,rabbit_hole,Lionsgate Films,Upright,72.0,31823.0,rabbit_hole,both
189,wild_target,Freestyle Releasing,Spilled,56.0,27250.0,wild_target,both
190,the_last_exorcism,Lionsgate,Spilled,35.0,73372.0,the_last_exorcism,both
191,the_experiment,,,,,,left_only
192,animals_united,,,,,,left_only
193,bitch_slap,Freestyle Releasing,Spilled,29.0,10344.0,bitch_slap,both
194,heartbreaker,,,,,,left_only
195,the_last_song,Walt Disney Studios,Upright,66.0,160802.0,the_last_song,both
196,welcome_to_the_south,,,,,,left_only
197,tucker_and_dale_vs__evil,Magnet Releasing,Upright,84.0,25606.0,tucker_and_dale_vs__evil,both
198,yogi_bear,Warner Bros. Pictures,Spilled,34.0,56228.0,yogi_bear,both
199,the_disappearance_of_alice_creed,Anchor Bay Entertainment,Upright,67.0,27680.0,the_disappearance_of_alice_creed,both
200,you_don_t_know_jack,HBO Films,Upright,83.0,3847.0,you_don_t_know_jack,both
201,secretariat,Walt Disney Pictures,Upright,76.0,49966.0,secretariat,both
202,the_american,Focus Features,Spilled,39.0,66176.0,the_american,both
203,blue_valentine,Weinstein Company,Upright,77.0,59213.0,blue_valentine,both
204,vampires_suck,20th Century Fox,Spilled,29.0,75140.0,vampires_suck,both
205,incendies,Sony Pictures Classics,Upright,92.0,17950.0,incendies,both
206,takers,,,,,,left_only
207,family_guy_presents__something__something__something__dark_side,,,,,,left_only
208,superman_batman__apocalypse,,,,,,left_only
209,skyline,,,,,,left_only
210,cop_out,Warner Bros. Pictures,Spilled,40.0,489045.0,cop_out,both
211,chloe,Sony Pictures Classics,Spilled,39.0,30602.0,chloe,both
212,stake_land,IFC,Upright,62.0,8172.0,stake_land,both
213,fortress_of_war,,,,,,left_only
214,cave_of_forgotten_dreams,IFC Films,Upright,73.0,12534.0,cave_of_forgotten_dreams,both
215,the_descent__part_2,,,,,,left_only
216,titanic_2,,,,,,left_only
217,dante_s_inferno__an_animated_epic,,,,,,left_only
218,22_bullets,EuropaCorp,Spilled,55.0,2411.0,22_bullets,both
219,exit_through_the_gift_shop,Abarorama,Upright,91.0,24727.0,exit_through_the_gift_shop,both
220,room_in_rome,,,,,,left_only
221,burlesque,,,,,,left_only
222,elektra_luxx,Samuel Goldwyn Films,Spilled,19.0,3033.0,elektra_luxx,both
223,cold_fish,,,,,,left_only
224,we_are_the_night,IFC Midnight,Spilled,52.0,6750.0,we_are_the_night,both
225,elena_undone,,,,,,left_only
226,the_final,After Dark Films,Spilled,32.0,1088.0,the_final,both
227,hatchet_ii,Dark Sky Films,Spilled,35.0,2888.0,hatchet_ii,both
228,louis_c_k___hilarious,,,,,,left_only
229,ca_h,,,,,,left_only
230,marmaduke,20th Century Fox,Spilled,42.0,78299.0,marmaduke,both
231,get_him_to_the_greek,Universal Pictures,Upright,62.0,213775.0,get_him_to_the_greek,both
232,womb,,,,,,left_only
233,london_boulevard,IFC Films,Spilled,30.0,11438.0,london_boulevard,both
234,twelve,Hannover House,Spilled,32.0,13264.0,twelve,both
235,redline,Chicago Releasing,Spilled,47.0,104024.0,redline,both
236,redline,Anchor Bay Entertainment,Upright,84.0,50.0,redline,both
237,the_kids_are_all_right,Focus Features,Upright,74.0,63588.0,the_kids_are_all_right,both
238,bloodrayne__the_third_reich,,,,,,left_only
239,peacock,,,,,,left_only
240,don_t_be_afraid_of_the_dark,Lorimar Productions,Spilled,57.0,901.0,don_t_be_afraid_of_the_dark,both
241,don_t_be_afraid_of_the_dark,Miramax Films,Spilled,34.0,40626.0,don_t_be_afraid_of_the_dark,both
242,the_illusionist,Yari Film Group,Upright,83.0,417235.0,the_illusionist,both
243,stone,Overture Films,Spilled,21.0,16674.0,stone,both
244,welcome_to_the_rileys,,,,,,left_only
245,rubber,Magnolia Releasing,Spilled,46.0,13912.0,rubber,both
246,bunraku,Cinedigm Entertainment,Spilled,49.0,4505.0,bunraku,both
247,going_the_distance,Séville Pictures,Upright,61.0,13033.0,going_the_distance,both
248,going_the_distance,New Line Cinema,Spilled,52.0,57438.0,going_the_distance,both
249,julia_s_eyes,,,,,,left_only
250,the_warrior_s_way,Rogue,Spilled,47.0,26687.0,the_warrior_s_way,both
251,last_night,Lions Gate Film,Upright,85.0,7727.0,last_night,both
252,last_night,Independent Pictures,Spilled,46.0,14295.0,last_night,both
253,get_low,Sony Pictures Classics,Upright,75.0,21860.0,get_low,both
254,loose_cannons,TriStar Pictures,Spilled,26.0,2861.0,loose_cannons,both
255,the_runaways,Apparition,Spilled,55.0,86191.0,the_runaways,both
256,bloomington,,,,,,left_only
257,paranormal_activity_2,Paramount Pictures,Spilled,48.0,103010.0,paranormal_activity_2,both
258,tom_and_jerry_meet_sherlock_holmes,,,,,,left_only
259,mesrine__killer_instinct,,,,,,left_only
260,mega_shark_vs__crocosaurus,,,,,,left_only
261,metropia,Film i Väst,Spilled,56.0,2982.0,metropia,both
262,the_company_men,The Weinstein Company,Spilled,55.0,33914.0,the_company_men,both
263,alpha_and_omega,Lionsgate Films,Spilled,41.0,38313.0,alpha_and_omega,both
264,avalon_high,,,,,,left_only
265,30_days_of_night__dark_days,SPE Acquisitions,Spilled,14.0,3592.0,30_days_of_night__dark_days,both
266,minions__orientation_day,,,,,,left_only
267,planet_hulk,,,,,,left_only
268,13,Anchor Bay,Spilled,34.0,5638.0,13,both
269,survival_of_the_dead,Magnolia Pictures,Spilled,19.0,7942.0,survival_of_the_dead,both
270,the_solitude_of_prime_numbers,,,,,,left_only
271,14_blades,Radius-TWC,Spilled,52.0,2457.0,14_blades,both
272,barbie__a_fashion_fairytale,,,,,,left_only
273,sharktopus,Anchor Bay Entertainment,Spilled,24.0,1076.0,sharktopus,both
274,burning_bright,,,,,,left_only
275,hereafter,Warner Bros. Pictures,Spilled,38.0,67234.0,hereafter,both
276,all_good_things,Magnolia Pictures,Spilled,37.0,39182.0,all_good_things,both
277,defendor,Alliance,Spilled,58.0,14376.0,defendor,both
278,the_dead,Vestron UK Ltd.,Upright,78.0,2813.0,the_dead,both
279,day___night,,,,,,left_only
280,dabangg,Eros Entertainment,Upright,60.0,1968.0,dabangg,both
281,the_ghost_writer,Summit Entertainment,Upright,70.0,60373.0,the_ghost_writer,both
282,inhale,IFC Films,Spilled,46.0,6691.0,inhale,both
283,le_mac,,,,,,left_only
284,derailed,Artisan Home Entertainment,Spilled,21.0,9182.0,derailed,both
285,derailed,The Weinstein Company,Spilled,58.0,217021.0,derailed,both
286,she_s_out_of_my_league,Paramount,Spilled,59.0,106277.0,she_s_out_of_my_league,both
287,triangle,Icon Entertainment International,Upright,66.0,25494.0,triangle,both
288,boy,Unison Films,Upright,86.0,6776.0,boy,both
289,all_that_glitters,,,,,,left_only
290,the_switch,Miramax,Spilled,44.0,79071.0,the_switch,both
291,cyrus,Fox Searchlight,Spilled,53.0,44610.0,cyrus,both
292,the_perfect_date,Netflix,Spilled,36.0,548.0,the_perfect_date,both
293,mesrine__public_enemy__1,,,,,,left_only
294,lottery_ticket,Warner Bros. Pictures,Spilled,44.0,29996.0,lottery_ticket,both
295,biutiful,Roadside Attractions,Upright,74.0,21397.0,biutiful,both
296,the_red_baron,,,,,,left_only
297,the_romantics,Benaroya Pictures,Spilled,21.0,14751.0,the_romantics,both
298,macgruber,,,,,,left_only
299,mirrors_2,,,,,,left_only
300,kill_theory,,,,,,left_only
301,reign_of_assassins,,,,,,left_only
302,my_name_is_khan,Fox Searchlight,Upright,83.0,20041.0,my_name_is_khan,both
303,king_of_devil_s_island,Film Movement,Upright,88.0,2699.0,king_of_devil_s_island,both
304,little_big_soldier,,,,,,left_only
305,somewhere,Focus Features,Spilled,48.0,27400.0,somewhere,both
306,greenberg,Focus Features,Spilled,42.0,36804.0,greenberg,both
307,country_strong,Screen Gems,Spilled,53.0,32991.0,country_strong,both
308,the_nutcracker_in_3d,,,,,,left_only
309,oceans,,,,,,left_only
310,conviction,Fox Searchlight,Upright,70.0,32774.0,conviction,both
311,the_way_back,Newmarket Films LLC,Upright,72.0,33805.0,the_way_back,both
312,the_search_for_santa_paws,,,,,,left_only
313,ramona_and_beezus,20th Century Fox,Upright,71.0,65258.0,ramona_and_beezus,both
314,student_services,,,,,,left_only
315,the_client_list,Sony Pictures Entertainment,Spilled,43.0,762.0,the_client_list,both
316,prayers_for_bobby,Lifetime Networks,Upright,86.0,2284.0,prayers_for_bobby,both
317,castaway_on_the_moon,,,,,,left_only
318,tamara_drewe,Sony Pictures Classics,Spilled,42.0,9394.0,tamara_drewe,both
319,barney_s_version,Sony Classics,Upright,78.0,18449.0,barney_s_version,both
320,meek_s_cutoff,Oscilloscope Pictures,Spilled,54.0,9319.0,meek_s_cutoff,both
321,kidnapped,Vaca Films,Spilled,49.0,6593.0,kidnapped,both
322,growth,,,,,,left_only
323,made_in_dagenham,Sony Pictures Classics,Upright,75.0,19314.0,made_in_dagenham,both
324,donkey_s_christmas_shrektacular,,,,,,left_only
325,revenge_of_the_bridesmaids,,,,,,left_only
326,the_lost_future,,,,,,left_only
327,catfish,,,,,,left_only
328,the_drawn_together_movie__the_movie_,,,,,,left_only
329,triage,,,,,,left_only
330,the_tortured,IFC Films,Spilled,35.0,2385.0,the_tortured,both
331,kevin_hart__seriously_funny,,,,,,left_only
332,hesher,Newmarket Films,Upright,61.0,19570.0,hesher,both
